Effective Atmospheric Angular Momentum Functions (AAM)

File name                    : ESMGFZ_AAM_v1.0_03h_1989.asc
File contents                : effective angular momentum functions from atmospheric mass and motion terms
File units                   : dimensionless earth rotation excitation functions
Issue date                   : 2017-08-16
Version number               : v1.0
 
References                   : Dobslaw, H., R. Dill, A. Groetzsch, A. Brzezinski, and M. Thomas (2010), 
                               Seasonal polar motion excitation from numerical models of atmosphere, ocean, 
                               and continental hydrosphere, J. Geophys. Res., doi:10.1029/2009JB007127
 
Contact                      : Henryk Dobslaw, dobslaw@gfz-potsdam.de
Affiliation                  : Deutsches GeoForschungsZentrum GFZ
                               Dep. 1: Geodesy and Remote Sensing
                               Sec. 1.3: Earth System Modelling
                               Telegrafenberg
                               14473 Potsdam, Germany
 
Temporal domain              : 01.01.1989, 00:00 UTC until 31.12.1989, 21:00 UTC
Temporal resolution          : 3h 
Number of data records       : 2920
Subtracted mean values       : mean from 2003-01-01 to 2014-12-31
                               -1.991162615023533e-13  -3.333353491031771e-13  -1.943277061004136e-14  -9.203219554984803e-10  -1.496376584857922e-08   2.734436408977633e-08
 
Data Source                  : 3h ECMWF operational analysis wind and surface pressure
Horizontal domain            : global
Horizontal resolution        : 0.5 x 0.5 degree (regular grid) 
Correction                   : Atm. surface pressure tides are subtracted, inverted barometer correction over ocean applied
 
Data assimilated             : None

Notes : These AAMs are part of a set of consistently processed Earth rotation excitation 
        function (AAM, OAM, HAM). The ocean model MPIOM and the hydrological model LSDM were
        forced consistently with operational analysis data from the ECMWF.

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
YYYY MM DD HH    MJD          AAM mass term                                                           AAM motion term
                              x-component             y-component             z-component             x-component             y-component             z-component

1989 01 01 00 47527.0	 -9.182007897887806e-08  -1.379193100176530e-08   1.833992302948817e-10   1.544180196940097e-08   1.028863829746102e-07  -1.807544642775299e-10
1989 01 01 03 47527.125	 -9.491011139199897e-08  -1.712049381239028e-08   2.058946691220151e-10   1.457427485286080e-08   1.078881282504122e-07  -1.295709136120005e-10
1989 01 01 06 47527.250	 -9.639212380213790e-08  -2.139682509173161e-08   2.259722780372880e-10   6.550539295700162e-08   1.310637208692585e-07  -8.885069568888227e-11
1989 01 01 09 47527.375	 -1.018691144230820e-07  -2.824131588528872e-08   2.214811627902470e-10   7.007734565595004e-08   6.838709933150919e-08  -1.025113662295217e-10
1989 01 01 12 47527.500	 -1.033470275551173e-07  -3.287573350600916e-08   2.231714455826444e-10   5.542356538859215e-08   1.931624058436437e-08  -1.094516366699716e-10
1989 01 01 15 47527.625	 -1.068277053596255e-07  -4.492442497557615e-08   1.753621157156644e-10   2.298094557614879e-09   9.380068286150699e-09  -1.468596077962297e-10
1989 01 01 18 47527.750	 -1.098312086432289e-07  -6.060240701179677e-08   1.519225633874816e-10  -1.198543883459463e-08   3.188825394774747e-08  -2.184436722542511e-10
1989 01 01 21 47527.875	 -1.156900637539028e-07  -7.243956932225244e-08   1.389468558834240e-10  -1.637534153154369e-08   3.348245700966104e-08  -2.165889744266617e-10
1989 01 02 00 47528.0	 -1.182289421211041e-07  -8.297391804550783e-08   1.169030450507696e-10   1.999596309284488e-09   4.269401949729044e-08  -1.650994235369615e-10
1989 01 02 03 47528.125	 -1.211399699338780e-07  -9.695169001723040e-08   7.589255087328972e-11   7.693755299013654e-09   3.222024046518075e-08  -8.583455275368189e-11
