Effective Oceanic Angular Momentum Functions (OAM)

File name                    : ESMGFZ_OAM_v1.0_03h_1985.asc
File contents                : effective angular momentum functions from oceanic mass and motion terms
File units                   : dimensionless earth rotation excitation functions
Issue date                   : 2017-08-16
Version number               : v1.0
 
References                   : Dobslaw, H., R. Dill, A. Groetzsch, A. Brzezinski, and M. Thomas (2010), 
                               Seasonal polar motion excitation from numerical models of atmosphere, ocean, 
                               and continental hydrosphere, J. Geophys. Res., doi:10.1029/2009JB007127
 
Contact                      : Henryk Dobslaw, dobslaw@gfz-potsdam.de
Affiliation                  : Deutsches GeoForschungsZentrum GFZ
                               Dep. 1: Geodesy and Remote Sensing
                               Sec. 1.3: Earth System Modelling
                               Telegrafenberg
                               14473 Potsdam, Germany
 
Temporal domain              : 01.01.1985, 00:00 UTC until 31.12.1985, 21:00 UTC
Temporal resolution          : 3h 
Number of data records       : 2920
Subtracted mean values       : mean from 2003-01-01 to 2014-12-31
                               7.152098599129423e-17   1.847667664741510e-17   3.794620422326981e-20  -3.220254498203050e-08   8.226002041060833e-08   3.462197020095727e-09
 
Numerical model              : MPIOM (Max-Planck-Institute Ocean Model)
Horizontal domain            : global
Horizontal resolution        : 1.0 x 1.0 degree
 
Model forcing                : 3h ECMWF operational data
Correction                   : Oceanic pressure tides are subtracted, global mass (Greatbatch) correction applied
 
Data assimilated             : None

Notes : These AAMs are part of a set of consistently processed Earth rotation excitation 
        function (AAM, OAM, HAM). The ocean model MPIOM and the hydrological model LSDM were
        forced consistently with operational analysis data from the ECMWF.

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
YYYY MM DD HH    MJD          OAM mass term                                                           OAM motion term
                              x-component             y-component             z-component             x-component             y-component             z-component

1985 01 01 00 46066.0	  1.857279848129428e-08   4.481923965957467e-08   2.039296444665405e-13   7.852339076597359e-08   5.208861827009458e-08  -2.189277465342670e-10
1985 01 01 03 46066.125	  2.026925113026503e-08   6.834763881320168e-08  -5.090636742934387e-11   1.575223651094991e-08  -1.875105975932919e-08  -2.415550602768669e-10
1985 01 01 06 46066.250	  2.066110119404225e-08   7.773329351753398e-08  -1.064521175867668e-10  -4.421625351625254e-08  -4.871441627164758e-08  -2.050437996684672e-10
1985 01 01 09 46066.375	  2.067725662176845e-08   6.862503601796457e-08  -9.948867665646789e-11  -5.625387384536604e-08  -2.426926723407303e-08  -2.282347722560761e-10
1985 01 01 12 46066.500	  2.977975837105537e-08   5.027046609618611e-08  -3.889858171298922e-11  -6.122764807364440e-08  -3.399005632683284e-08  -2.878307985105749e-10
1985 01 01 15 46066.625	  4.918315774994277e-08   3.887688328891642e-08   1.320436991089932e-11  -7.698640051790839e-08  -9.052498315467538e-08  -2.547519334128879e-10
1985 01 01 18 46066.750	  6.940721771194207e-08   3.059182310098517e-08   2.353557381648434e-11  -2.941240565005618e-08  -3.592860637825886e-08  -1.228328785494450e-10
1985 01 01 21 46066.875	  9.594004211446633e-08   2.133190792176565e-08   4.527013023151925e-11   3.733546239358204e-08   6.611043420936648e-08  -4.649463585343489e-11
1985 01 02 00 46067.0	  1.203712668596448e-07   7.273127558148111e-09   4.198875715917525e-11   7.690052194126260e-08   1.260554711205411e-07  -7.946964612369995e-11
1985 01 02 03 46067.125	  1.210199725677069e-07   9.399866387313544e-09  -1.214829902993061e-11   1.031630823735735e-07   4.522855843108936e-08  -1.483532433396799e-10
1985 01 02 06 46067.250	  1.175110037997995e-07   5.691204133815271e-09  -7.269869543884463e-11   1.328810643715943e-07   1.614156079813512e-08  -1.651948807821950e-10
1985 01 02 09 46067.375	  1.143243566668772e-07   9.761440845617560e-09  -6.381460933356288e-11   1.418094282210119e-07   3.085410996606216e-08  -1.918139437139431e-10
1985 01 02 12 46067.500	  1.149059583494896e-07   1.581478158046756e-08  -3.376483891427106e-12   1.094810883259612e-07  -8.456015584141841e-09  -2.474368126171980e-10
1985 01 02 15 46067.625	  1.248264995079628e-07   1.593541258957247e-08   2.926852939947321e-11   5.029407728697596e-08  -1.018267269542366e-07  -2.671101650351781e-10
1985 01 02 18 46067.750	  1.316705744141726e-07   5.940119419677246e-09   4.517213826680718e-11   1.211279401280265e-08  -1.510920674481275e-07  -2.163054388721851e-10
1985 01 02 21 46067.875	  1.454963533611485e-07   3.792695314186316e-09   8.496686008842903e-11   2.027765461806058e-08  -1.364000722392837e-07  -2.120040017108359e-10
1985 01 03 00 46068.0	  1.676055541423881e-07   9.925105554195785e-10   7.577128501206389e-11   1.639223696512652e-08  -1.525076725619981e-07  -2.533732442062439e-10
