Effective Oceanic Angular Momentum Functions (OAM)

File name                    : ESMGFZ_OAM_v1.0_03h_1980.asc
File contents                : effective angular momentum functions from oceanic mass and motion terms
File units                   : dimensionless earth rotation excitation functions
Issue date                   : 2017-08-16
Version number               : v1.0
 
References                   : Dobslaw, H., R. Dill, A. Groetzsch, A. Brzezinski, and M. Thomas (2010), 
                               Seasonal polar motion excitation from numerical models of atmosphere, ocean, 
                               and continental hydrosphere, J. Geophys. Res., doi:10.1029/2009JB007127
 
Contact                      : Henryk Dobslaw, dobslaw@gfz-potsdam.de
Affiliation                  : Deutsches GeoForschungsZentrum GFZ
                               Dep. 1: Geodesy and Remote Sensing
                               Sec. 1.3: Earth System Modelling
                               Telegrafenberg
                               14473 Potsdam, Germany
 
Temporal domain              : 01.01.1980, 00:00 UTC until 31.12.1980, 21:00 UTC
Temporal resolution          : 3h 
Number of data records       : 2928
Subtracted mean values       : mean from 2003-01-01 to 2014-12-31
                               7.152098599129423e-17   1.847667664741510e-17   3.794620422326981e-20  -3.220254498203050e-08   8.226002041060833e-08   3.462197020095727e-09
 
Numerical model              : MPIOM (Max-Planck-Institute Ocean Model)
Horizontal domain            : global
Horizontal resolution        : 1.0 x 1.0 degree
 
Model forcing                : 3h ECMWF operational data
Correction                   : Oceanic pressure tides are subtracted, global mass (Greatbatch) correction applied
 
Data assimilated             : None

Notes : These AAMs are part of a set of consistently processed Earth rotation excitation 
        function (AAM, OAM, HAM). The ocean model MPIOM and the hydrological model LSDM were
        forced consistently with operational analysis data from the ECMWF.

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
YYYY MM DD HH    MJD          OAM mass term                                                           OAM motion term
                              x-component             y-component             z-component             x-component             y-component             z-component

1980 01 01 00 44239.0	  8.619273810122648e-08  -5.041676786146351e-09  -4.407988991252152e-10   1.675711199179179e-07   1.730835019193376e-07  -2.598525597751400e-10
1980 01 01 03 44239.125	  5.979755188947819e-08  -1.123919491781067e-08  -4.423222267455879e-10   1.553308649399950e-07   1.025774126829069e-07  -3.063201626058999e-10
1980 01 01 06 44239.250	  2.993137070118879e-08  -1.975323447008001e-08  -3.952688977636026e-10   1.525046737194116e-07   6.886970909843158e-08  -3.759120271584600e-10
1980 01 01 09 44239.375	  9.505998107242278e-09  -2.495420312038769e-08  -3.718902599938862e-10   1.551401127540362e-07   2.272180622948247e-08  -3.704870007039360e-10
1980 01 01 12 44239.500	  3.285902613509804e-10  -2.653951578826600e-08  -4.092792909562311e-10   1.073516396777215e-07   6.167811516826638e-09  -3.272495293047901e-10
1980 01 01 15 44239.625	 -9.740343487423910e-09  -2.709109376727815e-08  -4.008641144524317e-10   6.440042114351415e-08   1.201293872182597e-08  -3.262225188978350e-10
1980 01 01 18 44239.750	 -2.089314172074881e-08  -2.469596261977193e-08  -3.461463878327318e-10   4.311497014259055e-08   2.216006304728897e-09  -3.773882896881278e-10
1980 01 01 21 44239.875	 -4.525782554064107e-08  -3.653033214593399e-08  -3.298137849530645e-10   2.353045219455288e-08  -1.680257210593435e-08  -3.820597897745742e-10
1980 01 02 00 44240.0	 -6.634158293640692e-08  -4.854496333972346e-08  -3.535537153434052e-10   2.087916169234851e-08  -1.935638630948179e-08  -3.595538519660760e-10
1980 01 02 03 44240.125	 -7.017254303245195e-08  -5.436665482883377e-08  -3.396976523277699e-10   1.897209352074459e-08   1.282689424757230e-08  -3.267852363329600e-10
1980 01 02 06 44240.250	 -7.381560211684313e-08  -5.904572884897560e-08  -3.110028229523927e-10   2.291818507135708e-08   2.078751172421517e-08  -3.224389423122740e-10
1980 01 02 09 44240.375	 -8.413157006033703e-08  -6.161047708386014e-08  -2.835309967430059e-10   6.109730533004319e-08   1.663891958158864e-08  -3.627001676315161e-10
1980 01 02 12 44240.500	 -8.194970350230820e-08  -6.083363369176641e-08  -2.618668454391089e-10   8.578524905627015e-08   1.792300826022427e-08  -4.019557625182449e-10
1980 01 02 15 44240.625	 -6.600027222304846e-08  -5.668638516171968e-08  -2.665492564276897e-10   7.861914638029932e-08  -1.696465746707058e-08  -3.579657940851992e-10
1980 01 02 18 44240.750	 -5.100335996343677e-08  -5.463312808826134e-08  -2.776940438114929e-10   7.424776467090283e-08  -1.269186145967238e-08  -3.435979419375240e-10
1980 01 02 21 44240.875	 -5.937868781974879e-08  -5.290956723239870e-08  -2.447987460861658e-10   5.712248962339446e-08  -1.264921618529187e-08  -3.642943482519340e-10
1980 01 03 00 44241.0	 -7.440276538216310e-08  -4.932405291011028e-08  -1.957238415371103e-10   3.679831208831439e-08  -2.426682193035170e-08  -3.713191632129989e-10
1980 01 03 03 44241.125	 -7.598393011081912e-08  -5.253391008029920e-08  -2.082192443264885e-10   3.386402725639531e-08  -6.527797885405835e-08  -3.342617426501601e-10
