Kategori,Isim,Kutle_Mgunes,Yaricap_Rgunes,Hiz_veq_kms,Acisal_Momentum_J,Evrenaki_Kutlesi_Mevr_kg
Konvektif (Gercek Gozlem),Barnard's star,0.162,0.185,0.0659130659370024,1.913432219958504e+38,9.786080848649346e+26
Konvektif (Gercek Gozlem),HD 20794,0.79,0.93,3.0,2.134942196751e+41,3.2688524561587563e+28
Konvektif (Gercek Gozlem),TOI-837,1.142,1.052,16.8,1.954996354725523e+42,9.891797885201548e+28
Konvektif (Gercek Gozlem),HD 74698,1.039,1.333,2.2,2.951366913549054e+41,3.8433847288450304e+28
Konvektif (Gercek Gozlem),HD 160691,1.13,1.33,3.1,4.512805383258901e+41,4.7525375884704295e+28
Konvektif (Gercek Gozlem),Gliese 12,0.255,0.265,2.0,1.309094133165e+40,8.09445655279804e+27
Radyatif (Gercek Gozlem),TOI-6130,1.31,1.51,8.4,1.60946803406844e+42,8.975185550119902e+28
Konvektif (Gercek Gozlem),rho CrB,1.0,1.3617,0.8,1.0551792711096e+41,2.298081272079184e+28
Konvektif (Gercek Gozlem),GJ 581,0.295,0.302,2.0,1.725892657398e+40,9.294138684342072e+27
Konvektif (Gercek Gozlem),NGTS-30,0.94,0.913,3.5,2.9095210391247003e+41,3.816040796818934e+28
Konvektif (Gercek Gozlem),CoRoT-16,1.098,1.19,1.0,1.2656223279882004e+41,2.5168325502557832e+28
Konvektif (Gercek Gozlem),TOI-1533,0.88,0.849,2.5,1.809194244858e+41,3.0091570664457744e+28
Radyatif (Gercek Gozlem),HD 31253,1.7,1.75,3.8,1.0950284258549999e+42,7.4031228221791825e+28
Radyatif (Gercek Gozlem),HD 208527,1.6,51.1,3.6,2.8510065170496e+43,3.777472949887945e+29
Konvektif (Gercek Gozlem),HD 153557,0.79,0.745171,2.0,1.1404279653728599e+41,2.3891102265359877e+28
Konvektif (Gercek Gozlem),HD 70642,1.078,0.984,2.4,2.4659253628289284e+41,3.513113830055549e+28
Konvektif (Gercek Gozlem),GJ 3998,0.52,0.5,0.93,2.34213067998e+40,1.0826992091839576e+28
Konvektif (Gercek Gozlem),HD 39194,0.86,0.783742,2.0,1.3057390551815062e+41,2.556409690643099e+28
Konvektif (Gercek Gozlem),K2-189,0.85,0.879,1.9,1.37504283760935e+41,2.6233749797409977e+28
Konvektif (Gercek Gozlem),HD 219134,0.794,0.77,0.4,2.3687871879672005e+40,1.088843043398247e+28
Konvektif (Gercek Gozlem),TOI-470,0.87,0.831,2.2999212273635807,1.6106013712932804e+41,2.8392019872476124e+28
Konvektif (Gercek Gozlem),WASP-193,1.018,1.213,5.11,6.112013509504212e+41,5.530882226709115e+28
Konvektif (Gercek Gozlem),HD 20782,1.04,1.12681,1.7,1.929691037231849e+41,3.1077505207880997e+28
Konvektif (Gercek Gozlem),Kepler-410 A,1.214,1.352,12.9,2.0508784191382034e+42,1.013146423398092e+29
Konvektif (Gercek Gozlem),Kepler-25,1.165,1.316,9.34,1.3870225357642837e+42,8.33189938342691e+28
Konvektif (Gercek Gozlem),HD 16417,1.2,1.639984,2.1,4.003086534124205e+41,4.476099656928986e+28
Konvektif (Gercek Gozlem),K2-16,0.67,0.544,2.0,7.060875022656001e+40,1.8798860292078377e+28
Konvektif (Gercek Gozlem),Kepler-103,1.212,1.492,3.1,5.429851637346864e+41,5.213102207069766e+28
Konvektif (Gercek Gozlem),GJ 1002,0.12,0.137,0.055009557474836754,8.75981210858042e+37,6.621397393779387e+26
Konvektif (Gercek Gozlem),TOI-1338 A,1.0936,1.313,3.6,5.007034166598173e+41,5.006019482987948e+28
Konvektif (Gercek Gozlem),TOI-1235,0.63,0.619,2.0,7.554679084134001e+40,1.94451039152012e+28
Konvektif (Gercek Gozlem),TOI-663,0.514,0.512,0.8634492875466347,2.2010238166762633e+40,1.0495777826631009e+28
Konvektif (Gercek Gozlem),HD 207897,0.8208,0.7827,2.0,1.2445647715361953e+41,2.495807065979173e+28
Konvektif (Gercek Gozlem),Kepler-1667,1.09,1.08751,4.1,4.7075879257334116e+41,4.854019069780922e+28
Konvektif (Gercek Gozlem),TOI-2267 A,0.171,0.2075,17.6,6.0489738321012e+40,1.739975410884039e+28
Konvektif (Gercek Gozlem),TOI-2000,1.082,1.134,2.99,3.553581908153114e+41,4.217309004092725e+28
Radyatif (Gercek Gozlem),TOI-1333,1.464,1.925,14.2,3.8762785810148396e+42,1.3928673195524751e+29
Konvektif (Gercek Gozlem),HD 75898,1.295,1.55,4.2,8.165928697699502e+41,6.393005083878786e+28
Konvektif (Gercek Gozlem),BD-210397,0.69,0.747,3.2,1.5976237106793598e+41,2.827740205192985e+28
Konvektif (Gercek Gozlem),K2-24,1.07,1.16,2.0,2.4045100082640003e+41,3.4690898843855206e+28
Radyatif (Gercek Gozlem),HD 1397,1.324,2.336,2.0,5.9916390929740805e+41,5.476146788437917e+28
Konvektif (Gercek Gozlem),HD 42618,1.015,0.999,2.0,1.9643386083867002e+41,3.1355262024897832e+28
Konvektif (Gercek Gozlem),GJ 338 B,0.64,0.58,2.3,8.269716663936002e+40,2.0344525871342634e+28
Konvektif (Gercek Gozlem),GJ 1132,0.198,0.226,2.0,8.668789385256001e+39,6.586906273854254e+27
Radyatif (Gercek Gozlem),TOI-4582,1.34,2.5,2.7,8.761196029950001e+41,6.621920414783746e+28
Konvektif (Gercek Gozlem),NGTS-21,0.72,0.86,2.432070947751796,1.4586866694941137e+41,2.701987061692213e+28
Radyatif (Gercek Gozlem),KELT-9,2.32,2.418,111.8,6.074924872504925e+43,5.514075570022281e+29
Radyatif (Gercek Gozlem),WASP-11,1.42,0.89,1.04,1.27311172187472e+41,2.524268317733579e+28
Konvektif (Gercek Gozlem),PH2,0.966,0.949,1.43,1.2697967255155183e+41,2.520979763215908e+28
Konvektif (Gercek Gozlem),Kepler-406,1.07,1.07,0.4,4.435906394556e+40,1.4900246208196187e+28
Radyatif (Gercek Gozlem),HD 82886,2.53,5.26,0.43,5.5428043280009395e+41,5.267045035255357e+28
Konvektif (Gercek Gozlem),CoRoT-11,1.27,1.37,40.0,6.741229396356002e+42,1.8368420418927878e+29
Radyatif (Gercek Gozlem),HD 154857,1.96,2.3,1.4,6.113174171831999e+41,5.5314073549582735e+28
Konvektif (Gercek Gozlem),TOI-5349,0.61,0.58,2.0,6.853977126360001e+40,1.852139028842641e+28
Radyatif (Gercek Gozlem),Kepler-14,1.512,2.048,7.9,2.3695379096223746e+42,1.0890155690902257e+29
Radyatif (Gercek Gozlem),KOI-12,1.5,1.4,60.0,1.2204651185999999e+43,2.4715246361359675e+29
Radyatif (Gercek Gozlem),BD+49 828,1.52,7.6,1.7,1.9022208083424e+42,9.757368839179124e+28
Konvektif (Gercek Gozlem),TOI-1117,0.97,1.05,1.32,1.3022362815462002e+41,2.5529784775508466e+28
Konvektif (Gercek Gozlem),Kepler-106,1.0,1.04,0.3,3.0221041032e+40,1.2298636575719344e+28
Konvektif (Gercek Gozlem),TOI-4406,1.19,1.29,4.5,6.691200012724501e+41,5.7870104158516664e+28
Konvektif (Gercek Gozlem),HD 108147,1.22,1.20664,5.3,7.557327532186287e+41,6.150159520130717e+28
Konvektif (Gercek Gozlem),TOI-2322,0.703,0.662,1.5738904314016395,7.094840492402893e+40,1.8844020848584478e+28
Konvektif (Gercek Gozlem),CoRoT-6,1.05,1.025,7.6,7.922852728245e+41,6.2971356630442526e+28
Konvektif (Gercek Gozlem),TOI-2345,0.727,0.729,2.3,1.1807136979263989e+41,2.430941786139601e+28
Konvektif (Gercek Gozlem),HD 145377,1.2,1.05,5.0,6.102325593e+41,5.526497094465457e+28
Konvektif (Gercek Gozlem),HD 40307,0.77,0.716684,1.0,5.345314474247747e+40,1.635644389741721e+28
Konvektif (Gercek Gozlem),Kepler-9,1.07,1.02,1.9,2.0085949982826002e+41,3.1706510403121364e+28
Konvektif (Gercek Gozlem),DMPP-6,1.079,1.27,2.4,3.1855999351831197e+41,3.992986804327699e+28
Konvektif (Gercek Gozlem),TOI-7510,1.063,1.035,3.2,3.41018876396016e+41,4.1313450390438745e+28
Konvektif (Gercek Gozlem),HD 83443,1.0,0.94,1.3,1.1836574404199998e+41,2.4339702984041347e+28
Konvektif (Gercek Gozlem),Pr0211,0.935,0.827,5.1,3.819813181128946e+41,4.372434572378924e+28
Radyatif (Gercek Gozlem),Kepler-7,1.359,1.966,4.2,1.0869437936949229e+42,7.375743438869207e+28
Konvektif (Gercek Gozlem),K2-146,0.331,0.33,2.0,2.116054046106e+40,1.0291190937700856e+28
Radyatif (Gercek Gozlem),HIP 114933,1.39,5.27,3.3,2.3415001063353896e+42,1.0825534514022102e+29
Radyatif (Gercek Gozlem),11 Com,2.09,13.76,1.2,3.34272610159488e+42,1.2934589621956795e+29
Radyatif (Gercek Gozlem),HD 224693,1.31,1.93,3.5,8.571394331545501e+41,6.5497993503050736e+28
Radyatif (Gercek Gozlem),HD 202772 A,1.721,2.554,4.75,2.0223215016678765e+42,1.0060680512558263e+29
Konvektif (Gercek Gozlem),WASP-130,1.04,0.96,0.5,4.83536656512e+40,1.5556681477570805e+28
Konvektif (Gercek Gozlem),HD 162020,0.42,0.75,1.9,5.79720931335e+40,1.703380803824511e+28
Konvektif (Gercek Gozlem),WASP-157,1.06,1.1,1.0,1.1294145462600003e+41,2.377546099817364e+28
Konvektif (Gercek Gozlem),Kepler-188,1.021,1.141,6.3,7.108971325146872e+41,5.964933952928327e+28
Konvektif (Gercek Gozlem),HD 136352,0.87,1.058,1.0,8.915788278306e+40,2.1124290510331107e+28
Konvektif (Gercek Gozlem),HD 156279,0.94,0.95,2.51,2.1711008974473004e+41,3.2964178828077297e+28
Konvektif (Gercek Gozlem),K2-263,0.88,0.85,2.0,1.4490601725600002e+41,2.693056519313365e+28
Radyatif (Gercek Gozlem),Kepler-462,1.59,1.57,80.0,1.9343790955944e+43,3.1115232692408115e+29
Konvektif (Gercek Gozlem),47 UMa,1.06,1.21334,2.8,3.488198879605004e+41,4.178331347664507e+28
Konvektif (Gercek Gozlem),TOI-5624,0.858,0.82,2.0,1.3629689505432e+41,2.6118320043860276e+28
Konvektif (Gercek Gozlem),GJ 9066,0.15,0.164,2.0,4.7656257012e+39,4.8838489418169444e+27
Radyatif (Gercek Gozlem),gam Lib,1.78,12.38,1.55,3.3084697766866205e+42,1.2868141975912577e+29
Konvektif (Gercek Gozlem),TrES-5,0.901,0.868,3.8,2.8786107258876246e+41,3.795716149889063e+28
Konvektif (Gercek Gozlem),HD 204313,1.03,1.1,2.4,2.6338799607120004e+41,3.630782613424542e+28
Konvektif (Gercek Gozlem),Kepler-18,0.972,1.108,4.0,4.17273537006144e+41,4.569962955180153e+28
Konvektif (Gercek Gozlem),TOI-561,0.806,0.843,2.0,1.31627744214876e+41,2.5667051225120753e+28
Konvektif (Gercek Gozlem),LTT 1445 A,0.257,0.265,3.4,2.2429146148227e+40,1.0595187054972879e+28
Konvektif (Gercek Gozlem),WASP-119,1.02,1.2,0.7,8.299162806480001e+40,2.03807142622097e+28
Konvektif (Gercek Gozlem),WTS-1,1.2,1.15,7.0,9.356899242599999e+41,6.843341840105646e+28
Konvektif (Gercek Gozlem),K2-155,0.65,0.58,0.8432121948697605,3.0791656660642193e+40,1.2414201371772163e+28
Konvektif (Gercek Gozlem),K2-264,0.496,0.473,1.0779442383064775,2.4495930391442343e+40,1.107259022141717e+28
Konvektif (Gercek Gozlem),Kepler-8,1.213,1.486,10.5,1.8332586205405288e+42,9.578866619425242e+28
Radyatif (Gercek Gozlem),HD 221420,1.351,1.947,0.71,1.8089829590990156e+41,3.0089813499354457e+28
Konvektif (Gercek Gozlem),HD 109833,1.08,1.0,10.5,1.0984186067400002e+42,7.414573908407903e+28
Konvektif (Gercek Gozlem),HD 117207,1.053,1.074,1.05,1.150209044047791e+41,2.3993336621364725e+28
Konvektif (Gercek Gozlem),TOI-700,0.415,0.421,0.39443592671129907,6.67515699247977e+39,5.780068698255705e+27
Konvektif (Gercek Gozlem),HATS-51,1.187,1.44,3.98,6.589479475653984e+41,5.742854495460071e+28
Konvektif (Gercek Gozlem),K2-246,0.87,0.94,2.9,2.2972059401381998e+41,3.3908003816088787e+28
Konvektif (Gercek Gozlem),HAT-P-15,1.0,1.07,1.53,1.5857328933810002e+41,2.8171973782418893e+28
Konvektif (Gercek Gozlem),K2-238,1.19,1.59,3.78,6.9277261527091804e+41,5.888404203824115e+28
Konvektif (Gercek Gozlem),Kepler-42,0.13,0.17,3.3,7.064168341230001e+39,5.946107794520215e+27
Konvektif (Gercek Gozlem),HD 96700,0.89,1.16,1.6,1.6000103980224003e+41,2.82985159507741e+28
Konvektif (Gercek Gozlem),Kepler-725,0.95,0.88,2.550066091363959,2.0649642646304117e+41,3.214833818353865e+28
Konvektif (Gercek Gozlem),CoRoT-5,1.0,1.186,1.0,1.14878700846e+41,2.3978500217959893e+28
Konvektif (Gercek Gozlem),CoRoT-29,0.97,0.9,3.5,2.959627912605e+41,3.848759867222238e+28
Konvektif (Gercek Gozlem),BD+48 738,0.74,11.0,1.0,7.884592115399999e+41,6.281912368061178e+28
Konvektif (Gercek Gozlem),TOI-757,0.8,0.78,2.4,1.4506099695360002e+41,2.694496271631831e+28
Konvektif (Gercek Gozlem),TOI-1453,0.715,0.72,2.0,9.972943540560001e+40,2.234158283003582e+28
Konvektif (Gercek Gozlem),Kepler-395,0.622827,0.556,1.4121264468300807,4.736642812789288e+40,1.53970519856664e+28
Radyatif (Gercek Gozlem),BD+20 2457,2.8,49.0,2.5,3.3223772673e+43,4.077807603523166e+29
Konvektif (Gercek Gozlem),TOI-451,0.93,0.85,8.7,6.661560145558501e+41,5.774178891380329e+28
Konvektif (Gercek Gozlem),WASP-181,1.04,0.965,3.3,3.2079635055468e+41,4.00697808842713e+28
Konvektif (Gercek Gozlem),HD 38801,1.207,2.029,1.87,4.4359408872249465e+41,4.711889890740996e+28
Konvektif (Gercek Gozlem),55 Cnc,0.905,0.943,1.23,1.0167641144473997e+41,2.2558611397244106e+28
Konvektif (Gercek Gozlem),Kepler-129,1.178,1.653,2.13,4.017469366842585e+41,4.484133616263171e+28
Radyatif (Gercek Gozlem),HAT-P-69,1.648,1.926,77.44,2.3808589161661623e+43,3.451986499339537e+29
Konvektif (Gercek Gozlem),EPIC 220674823,0.913,0.99,2.62,2.293834550541534e+41,3.3883112912059574e+28
Konvektif (Gercek Gozlem),OGLE-TR-111,0.82,0.83,1.0,6.592448886659999e+40,1.816459184043863e+28
Radyatif (Gercek Gozlem),6 Lyn,1.32,4.94,1.32,8.337380799908163e+41,6.459770323484651e+28
Konvektif (Gercek Gozlem),Kepler-961,0.96,0.9,2.5,2.0922259176e+41,3.2359853505832175e+28
Konvektif (Gercek Gozlem),TOI-5153,1.24,1.4,10.1,1.6983450161495998e+42,9.219666645846829e+28
Konvektif (Gercek Gozlem),KOI-7913 A,0.76,0.788,13.3,7.71518380795344e+41,6.214059347426651e+28
Konvektif (Gercek Gozlem),K2-264,0.496,0.473,1.0779442383064775,2.4495930391442343e+40,1.107259022141717e+28
Konvektif (Gercek Gozlem),HD 12648,0.67,11.02,4.8,3.43283129777952e+42,1.3107760230765714e+29
Konvektif (Gercek Gozlem),HD 159243,1.125,1.12,3.8,4.6377674506800004e+41,4.817888469309216e+28
Radyatif (Gercek Gozlem),HD 95127,3.7,41.01,2.6,3.8213750858938206e+43,4.3733284156235054e+29
Konvektif (Gercek Gozlem),GJ 876,0.32,0.3,0.16,1.4878050969600003e+39,2.72882244874172e+27
Konvektif (Gercek Gozlem),TOI-1710,1.02,0.93,2.1,1.9295553525066e+41,3.1076412593363685e+28
Konvektif (Gercek Gozlem),14 Her,0.97,0.93,1.0,8.73794907531e+40,2.09125509815052e+28
Konvektif (Gercek Gozlem),TOI-1899,0.632,0.607,2.0,7.431741439012801e+40,1.9286239420416352e+28
Konvektif (Gercek Gozlem),BD+15 2940,1.1,14.7,2.3,3.602406208401e+42,1.3427606303101126e+29
Konvektif (Gercek Gozlem),Kepler-11,0.961,1.065,0.4,3.9654074051046003e+40,1.4087896901039711e+28
Konvektif (Gercek Gozlem),NGTS-14 A,0.898,0.842,1.2,8.78869717728912e+40,2.097319083015396e+28
Konvektif (Gercek Gozlem),K2-131,0.803,0.7595,4.3,2.5401923603861808e+41,3.565624135745145e+28
Konvektif (Gercek Gozlem),TOI-6054,1.107,1.662,6.69,1.192228734014742e+42,7.724707619615492e+28
Konvektif (Gercek Gozlem),HD 97658,0.85,0.728,0.5,2.9969199023399997e+40,1.2247285050496216e+28
Konvektif (Gercek Gozlem),HD 208487,1.15,1.16,5.58,7.210159216369198e+41,6.007235883899583e+28
Konvektif (Gercek Gozlem),DMPP-8,0.99,1.24,2.13,2.5327440845506802e+41,3.5603927900686708e+28
Konvektif (Gercek Gozlem),HAT-P-25,1.012,0.919,0.5,4.504233068735399e+40,1.5014562615251143e+28
Konvektif (Gercek Gozlem),Kepler-100,1.08,1.49,3.7,5.7672207418644e+41,5.37261283529718e+28
Konvektif (Gercek Gozlem),TOI-892,1.28,1.39,7.69,1.3252747884929281e+42,8.144327442713766e+28
Konvektif (Gercek Gozlem),HD 221287,1.25,1.13864,3.92,5.4042737880549616e+41,5.200809298333523e+28
Radyatif (Gercek Gozlem),WASP-12,1.325,1.69,1.9,4.1210796682282505e+41,4.541588308676465e+28
Konvektif (Gercek Gozlem),TOI-1203,0.886,1.179,1.4,1.416545044554276e+41,2.66267065890793e+28
Konvektif (Gercek Gozlem),TOI-5800,0.778,0.773,1.3,7.572813645999421e+40,1.946842833928751e+28
Konvektif (Gercek Gozlem),TIC 88785435,0.724,0.911,10.0,6.388689329240401e+41,5.654681429423789e+28
Konvektif (Gercek Gozlem),TOI-4507,1.11,1.04,7.3,8.162703182743201e+41,6.3917423511903235e+28
Konvektif (Gercek Gozlem),TOI-262,0.913,0.853,0.6441134348273782,4.858889168546512e+40,1.559447485724989e+28
Konvektif (Gercek Gozlem),Wolf 1061,0.294,0.307,0.16349440662632617,1.4293659486098108e+39,2.6746932023646805e+27
Konvektif (Gercek Gozlem),HATS-25,0.994,1.107,3.88,4.135428889724715e+41,4.5494881350449185e+28
Konvektif (Gercek Gozlem),HAT-P-50,1.273,1.698,8.9,1.8634207305425165e+42,9.657344398329894e+28
Konvektif (Gercek Gozlem),K2-233,0.79,0.71,4.5,2.4448531607955e+41,3.49807122658813e+28
Konvektif (Gercek Gozlem),TOI-4465,0.93,1.014,4.13,3.772469886243786e+41,4.3452538086837705e+28
Konvektif (Gercek Gozlem),WASP-80,0.577,0.586,1.27,4.1594123466326344e+40,1.4428402410792384e+28
Konvektif (Gercek Gozlem),TOI-942,0.822,0.894,14.24,1.0136176217016596e+42,7.122612771854213e+28
Konvektif (Gercek Gozlem),TOI-880,0.87,0.83,1.57,1.0981251139376701e+41,2.344380875920065e+28
Konvektif (Gercek Gozlem),K2-315,0.174,0.196,5.0,1.6516961271720002e+40,9.092165519414637e+27
Konvektif (Gercek Gozlem),HD 109286,0.98,1.089,3.8,3.92818903072596e+41,4.434028164027512e+28
Radyatif (Gercek Gozlem),TOI-2049,1.57,3.2,16.0,7.786180007424e+42,1.9740787701362637e+29
Konvektif (Gercek Gozlem),GJ 674,0.35,0.36463,1.0,1.23616165609755e+40,7.865745530948426e+27
Konvektif (Gercek Gozlem),K2-73,1.02,1.058,2.0,2.0905986307752002e+41,3.2347266670441393e+28
Konvektif (Gercek Gozlem),Kepler-428,0.87,0.8,2.0,1.3483233691199999e+41,2.5977615769756102e+28
Konvektif (Gercek Gozlem),HIP 10090,0.94,1.38268,2.7,3.399132744802922e+41,4.124642578504836e+28
Konvektif (Gercek Gozlem),K2-31,0.91,0.78,2.6,1.7875745770428003e+41,2.9911234854012496e+28
Konvektif (Gercek Gozlem),GJ 1265,0.178,0.192,2.0,6.620732681471998e+39,5.756457261855382e+27
Konvektif (Gercek Gozlem),HATS-47,0.674,0.6564,2.47,1.0584741317315912e+41,2.3016664239165807e+28
Radyatif (Gercek Gozlem),HD 1502,1.46,4.67,2.7,1.78315184392254e+42,9.44705451636446e+28
Konvektif (Gercek Gozlem),G 9-40,0.2952,0.3026,2.0,1.730494004619744e+40,9.306519840548869e+27
Konvektif (Gercek Gozlem),HD 191939,0.81,0.94,2.0,1.475019271908e+41,2.7170717396451603e+28
Radyatif (Gercek Gozlem),TOI-1107,1.35,1.81,12.31,2.9135684307898354e+42,1.2075771022393437e+29
Konvektif (Gercek Gozlem),TOI-6330,0.531,0.49,2.0,5.040520939818001e+40,1.588327187062591e+28
Radyatif (Gercek Gozlem),51 Eri,1.75,1.45,65.19,1.6022927162253375e+43,2.831869182040526e+29
Konvektif (Gercek Gozlem),GJ 3293,0.42,0.404,0.4985235025278779,8.193531347919328e+39,6.403800856132367e+27
