Table 2 
Fitted Model Parameters


Galaxy	angl0x _0angr0	e	e _env	D (Mpc)	i (deg)	Upsi_gas	Upsi_disk	Upsi_bulge	
NGC4138	-10.020	${0.124}_{-0.080}^{+0.104}$	${0.046}_{-0.007}^{+0.004}$	${18.77}_{-1.90}^{+2.12}$	${54.37}_{-2.76}^{+2.79}$	${1.40}_{-0.12}^{+0.14}$	${0.56}_{-0.09}^{+0.11}$	${0.68}_{-0.14}^{+0.17}$	
NGC4157	-10.510	$-{0.016}_{-0.030}^{+0.031}$	${0.044}_{-0.005}^{+0.006}$	${15.23}_{-1.46}^{+1.61}$	${81.93}_{-3.00}^{+2.98}$	${1.40}_{-0.12}^{+0.13}$	${0.42}_{-0.06}^{+0.06}$	${0.65}_{-0.13}^{+0.16}$	
NGC4183	-10.877	${0.115}_{-0.033}^{+0.039}$	${0.042}_{-0.003}^{+0.009}$	${18.22}_{-1.80}^{+2.04}$	${82.23}_{-1.97}^{+1.97}$	${1.33}_{-0.12}^{+0.13}$	${0.69}_{-0.09}^{+0.11}$	cdots	
NGC4217	-10.173	$-{0.135}_{-0.039}^{+0.039}$	${0.041}_{-0.004}^{+0.005}$	${15.51}_{-1.40}^{+1.53}$	${85.95}_{-1.97}^{+1.90}$	${1.41}_{-0.12}^{+0.14}$	${0.87}_{-0.15}^{+0.18}$	${0.23}_{-0.03}^{+0.03}$	
NGC4559	-10.832	${0.029}_{-0.036}^{+0.040}$	${0.040}_{-0.003}^{+0.009}$	${7.46}_{-1.04}^{+1.26}$	${67.19}_{-0.99}^{+0.99}$	${1.38}_{-0.12}^{+0.13}$	${0.46}_{-0.07}^{+0.09}$	cdots	
NGC5005	-9.452	$-{0.080}_{-0.170}^{+0.252}$	${0.050}_{-0.003}^{+0.007}$	${16.19}_{-1.16}^{+1.24}$	${68.17}_{-1.96}^{+1.97}$	${1.42}_{-0.12}^{+0.14}$	${0.50}_{-0.08}^{+0.08}$	${0.54}_{-0.07}^{+0.08}$	
NGC5033	-10.737	${0.104}_{-0.012}^{+0.013}$	${0.050}_{-0.003}^{+0.008}$	${23.50}_{-1.82}^{+1.96}$	${66.26}_{-0.99}^{+0.99}$	${1.45}_{-0.12}^{+0.13}$	${0.43}_{-0.05}^{+0.06}$	${0.28}_{-0.04}^{+0.04}$	
NGC5055	-10.536	${0.054}_{-0.004}^{+0.005}$	${0.040}_{-0.003}^{+0.006}$	${9.82}_{-0.28}^{+0.29}$	${59.40}_{-2.19}^{+2.37}$	${1.50}_{-0.13}^{+0.14}$	${0.31}_{-0.02}^{+0.02}$	cdots	
NGC5371	-9.751	${0.284}_{-0.053}^{+0.054}$	${0.035}_{-0.005}^{+0.009}$	${16.48}_{-2.16}^{+2.50}$	${52.12}_{-2.00}^{+2.00}$	${1.36}_{-0.12}^{+0.13}$	${1.38}_{-0.20}^{+0.23}$	cdots	
NGC5585	-10.826	$-{0.079}_{-0.030}^{+0.030}$	${0.040}_{-0.004}^{+0.005}$	${5.02}_{-0.70}^{+0.81}$	${51.78}_{-1.94}^{+1.95}$	${1.38}_{-0.12}^{+0.13}$	${0.36}_{-0.06}^{+0.07}$	cdots	
